temperature,timestamp,wind_speed,description,pressure,humidity
2,1589667600,11,Fair,999.98,70
2,1589669400,9,Fair,999.98,75
2,1589671200,11,Partly Cloudy,999.98,75
2,1589673000,9,Partly Cloudy,999.98,70
1,1589674800,9,Mostly Cloudy,999.98,75
1,1589676600,9,Cloudy,999.98,75
0,1589678400,9,Partly Cloudy,999.98,80
0,1589680200,9,Fair,999.98,80
1,1589682000,9,Fair,999.98,75
1,1589683800,11,Fair,999.98,81
1,1589685600,11,Fair,999.98,81
2,1589687400,9,Fair,999.98,75
3,1589689200,11,Fair,999.98,70
3,1589691000,13,Fair,999.98,70
4,1589692800,13,Fair,999.98,70
5,1589694600,13,Fair,999.98,65
6,1589696400,13,Fair,999.98,61
7,1589698200,13,Fair,999.98,53
8,1589700000,13,Fair,999.98,50
8,1589701800,9,Fair,999.98,50
8,1589703600,9,Fair,999.98,46
8,1589705400,9,Fair,999.98,43
8,1589707200,9,Partly Cloudy,999.98,43
9,1589709000,13,Partly Cloudy,999.98,40
10,1589710800,13,Partly Cloudy,999.98,40
9,1589712600,11,Partly Cloudy,999.98,40
8,1589714400,20,Partly Cloudy,1000.98,53
8,1589716200,15,Partly Cloudy,1000.98,50
9,1589718000,6,Showers in the Vicinity,1000.98,43
8,1589719800,20,Light Rain Shower,1000.98,53
7,1589721600,19,Light Rain Shower,1000.98,61
8,1589723400,15,Showers in the Vicinity,1000.98,53
9,1589725200,15,Partly Cloudy,1000.98,43
9,1589727000,9,Partly Cloudy,1000.98,46
10,1589728800,15,Fair,1000.98,40
9,1589730600,13,Partly Cloudy,1000.98,43
9,1589732400,11,Partly Cloudy,1000.98,46
7,1589734200,13,Partly Cloudy,1000.98,61
7,1589736000,13,Fair,1000.98,57
7,1589737800,20,Fair,1000.98,61
6,1589739600,20,Fair,1000.98,66
5,1589741400,9,Fair,1000.98,70
5,1589743200,7,Fair,1001.98,70
3,1589745000,7,Fair,1001.98,75
3,1589746800,11,Fair,1001.98,75
3,1589748600,7,Fair,1001.98,75
2,1589750400,7,Fair,1001.98,81
2,1589752200,9,Fair,1001.98,81
