temperature,timestamp,wind_speed,description,pressure,humidity
-1,1588112400,9,Partly Cloudy,1008.96,60
-1,1588114200,13,Fair,1009.96,60
-1,1588116000,11,Partly Cloudy,1009.96,60
-1,1588117800,9,Fair,1009.96,55
-2,1588119600,7,Cloudy,1009.96,64
-2,1588121400,9,Cloudy,1009.96,64
-2,1588123200,11,Unknown Precipitation,1009.96,64
-2,1588125000,9,Partly Cloudy,1009.96,69
-2,1588126800,9,Fair,1009.96,69
-2,1588128600,9,Fair,1009.96,69
-2,1588130400,9,Partly Cloudy,1009.96,74
-1,1588132200,11,Mostly Cloudy,1009.96,69
-1,1588134000,11,Partly Cloudy,1010.96,69
-1,1588135800,9,Mostly Cloudy,1010.96,69
-1,1588137600,11,Showers in the Vicinity,1010.96,75
0,1588139400,11,Showers in the Vicinity,1010.96,69
0,1588141200,9,Partly Cloudy,1010.96,69
0,1588143000,9,Fair,1011.96,69
1,1588144800,11,Fair,1011.96,70
1,1588146600,13,Fair,1011.96,70
2,1588148400,9,Fair,1011.96,65
3,1588150200,9,Fair,1011.96,60
3,1588152000,7,Fair,1011.96,60
4,1588153800,6,Fair,1011.96,56
4,1588155600,7,Showers in the Vicinity,1011.96,56
4,1588157400,7,Partly Cloudy,1011.96,52
4,1588159200,7,Light Snow Shower,1011.96,52
5,1588161000,11,Showers in the Vicinity,1011.96,49
4,1588162800,9,Showers in the Vicinity,1011.96,52
5,1588164600,13,Showers in the Vicinity,1011.96,49
4,1588166400,6,Light Snow Shower,1011.96,52
4,1588168200,6,Showers in the Vicinity,1011.96,52
4,1588170000,7,Cloudy,1011.96,56
5,1588171800,9,Partly Cloudy,1011.96,53
5,1588173600,9,Fair,1011.96,49
4,1588175400,7,Fair,1011.96,52
3,1588177200,7,Partly Cloudy,1011.96,60
2,1588179000,6,Fair,1012.95,70
2,1588180800,4,Fair,1012.95,70
2,1588182600,2,Partly Cloudy,1012.95,65
1,1588184400,4,Fair,1012.95,70
1,1588186200,2,Partly Cloudy,1012.95,70
0,1588188000,2,Fair,1012.95,80
1,1588189800,7,Partly Cloudy,1012.95,75
0,1588191600,6,Cloudy,1012.95,80
0,1588193400,2,Cloudy,1012.95,87
0,1588195200,4,Cloudy,1012.95,87
0,1588197000,2,Cloudy,1012.95,80
