temperature,timestamp,wind_speed,description,pressure,humidity
-1,1586643600,13,Fair,1009.96,86
0,1586645400,17,Mostly Cloudy,1009.96,80
0,1586647200,19,Cloudy,1008.96,80
0,1586649000,19,Cloudy,1008.96,80
0,1586650800,17,Mostly Cloudy,1007.96,80
0,1586652600,17,Fair,1006.97,80
0,1586654400,15,Fair,1006.97,80
0,1586656200,20,Mostly Cloudy,1005.97,87
0,1586658000,22,Cloudy,1004.97,80
0,1586659800,24,Cloudy,1004.97,80
0,1586661600,24,Mostly Cloudy,1003.97,75
0,1586663400,24,Cloudy,1002.97,75
0,1586665200,28,Cloudy,1001.98,69
0,1586667000,30,Cloudy,1000.98,64
0,1586668800,24,Cloudy,999.98,75
-2,1586670600,26,Unknown Precipitation,998.98,93
-2,1586672400,30,Light Snow,997.99,93
-2,1586674200,28,Snow,996.99,100
-1,1586676000,33,Snow / Windy,994.99,93
-1,1586677800,41,Light Snow / Windy,993.99,100
-1,1586679600,41,Light Snow / Windy,993.0,100
0,1586681400,41,Light Snow / Windy,992.0,93
0,1586683200,43,Light Snow / Windy,991.0,93
0,1586685000,37,Light Snow / Windy,990.0,93
0,1586686800,39,Light Snow / Windy,989.0,93
0,1586688600,35,Light Snow / Windy,988.01,93
0,1586690400,33,Light Snow / Windy,987.01,100
0,1586692200,31,Light Snow,986.01,100
0,1586694000,31,Wintry Mix,985.01,100
0,1586695800,30,Wintry Mix,984.01,100
0,1586697600,26,Wintry Mix,984.01,100
0,1586699400,26,Wintry Mix,983.02,100
1,1586701200,26,Light Rain Shower,982.02,93
1,1586703000,26,Wintry Mix,981.02,93
1,1586704800,26,Light Rain,981.02,93
1,1586706600,22,Wintry Mix,980.02,100
1,1586708400,19,Light Rain,980.02,100
1,1586710200,19,Light Rain,979.02,100
1,1586712000,17,Light Rain,979.02,100
1,1586713800,17,Light Rain,978.03,100
1,1586715600,19,Rain,978.03,100
1,1586717400,13,Light Rain,977.03,100
2,1586719200,9,Rain,977.03,93
2,1586721000,9,Cloudy,977.03,93
1,1586722800,7,Cloudy,977.03,100
1,1586724600,6,Cloudy,976.03,100
1,1586726400,11,Light Rain,976.03,100
1,1586728200,20,Light Rain,976.03,93
