temperature,timestamp,wind_speed,description,pressure,humidity
1,1587248400,9,Fair,1016.95,75
0,1587250200,11,Fair,1016.95,80
-1,1587252000,7,Fair,1017.94,86
0,1587253800,2,Fair,1017.94,75
0,1587255600,4,Partly Cloudy,1017.94,80
0,1587257400,2,Fair,1017.94,80
-1,1587259200,6,Mostly Cloudy,1017.94,86
0,1587261000,4,Cloudy,1017.94,80
0,1587262800,2,Cloudy,1017.94,87
0,1587264600,2,Cloudy,1017.94,87
1,1587266400,4,Cloudy,1017.94,81
1,1587268200,4,Cloudy,1017.94,81
1,1587270000,0,Cloudy,1017.94,81
1,1587271800,0,Cloudy,1017.94,81
3,1587273600,4,Cloudy,1017.94,75
3,1587275400,7,Fair,1017.94,75
3,1587277200,11,Fair,1017.94,75
3,1587279000,15,Fair,1017.94,81
4,1587280800,17,Fair,1017.94,75
4,1587282600,17,Fair,1017.94,75
4,1587284400,15,Fair,1017.94,75
5,1587286200,19,Fair,1017.94,70
6,1587288000,17,Fair,1017.94,66
6,1587289800,24,Fair,1017.94,66
6,1587291600,22,Fair,1017.94,66
6,1587293400,22,Fair,1017.94,66
7,1587295200,20,Fair,1017.94,61
7,1587297000,20,Fair,1017.94,61
8,1587298800,17,Fair,1017.94,57
8,1587300600,17,Fair,1017.94,57
9,1587302400,13,Fair,1017.94,54
9,1587304200,20,Fair,1017.94,57
9,1587306000,19,Fair,1017.94,57
9,1587307800,13,Fair,1017.94,57
10,1587309600,11,Fair,1017.94,54
11,1587311400,19,Cloudy,1017.94,50
10,1587313200,13,Fair,1018.94,54
9,1587315000,13,Fair,1018.94,57
9,1587316800,13,Fair,1018.94,57
8,1587318600,11,Fair,1018.94,57
7,1587320400,11,Fair,1018.94,66
7,1587322200,13,Fair,1018.94,66
8,1587324000,9,Cloudy,1019.94,62
7,1587325800,9,Cloudy,1019.94,66
7,1587327600,4,Cloudy,1018.94,66
7,1587329400,11,Cloudy,1019.94,66
7,1587331200,13,Cloudy,1019.94,61
5,1587333000,13,Mostly Cloudy,1019.94,70
