temperature,timestamp,wind_speed,description,pressure,humidity
9,1590445200,2,Fair,1026.93,76
8,1590447000,4,Fair,1026.93,81
10,1590448800,6,Fair,1026.93,66
9,1590450600,7,Fair,1026.93,66
9,1590452400,9,Fair,1026.93,66
9,1590454200,9,Fair,1026.93,66
9,1590456000,9,Fair,1026.93,66
8,1590457800,7,Fair,1026.93,71
9,1590459600,7,Fair,1026.93,71
10,1590461400,7,Fair,1026.93,66
11,1590463200,6,Fair,1026.93,62
12,1590465000,7,Fair,1027.92,62
13,1590466800,7,Fair,1027.92,54
14,1590468600,4,Fair,1027.92,51
15,1590470400,0,Fair,1026.93,48
16,1590472200,4,Fair,1026.93,45
16,1590474000,6,Fair,1026.93,48
17,1590475800,9,Fair,1027.92,39
17,1590477600,13,Fair,1027.92,42
17,1590479400,15,Fair,1027.92,42
16,1590481200,17,Fair,1027.92,45
17,1590483000,13,Fair,1026.93,42
17,1590484800,15,Fair,1026.93,42
17,1590486600,13,Fair,1026.93,42
18,1590488400,11,Fair,1026.93,42
18,1590490200,17,Fair,1025.93,42
17,1590492000,15,Fair,1025.93,45
18,1590493800,17,Fair,1025.93,42
16,1590495600,17,Fair,1025.93,52
16,1590497400,17,Fair,1025.93,52
14,1590499200,17,Fair,1025.93,59
14,1590501000,17,Fair,1024.93,59
14,1590502800,19,Fair,1024.93,59
14,1590504600,13,Fair,1024.93,59
14,1590506400,11,Fair,1024.93,59
14,1590508200,15,Fair,1023.93,59
14,1590510000,19,Fair,1023.93,59
13,1590511800,15,Fair,1023.93,63
13,1590513600,15,Fair,1022.93,63
12,1590515400,13,Fair,1022.93,67
12,1590517200,15,Fair,1022.93,67
12,1590519000,15,Partly Cloudy,1021.94,67
11,1590520800,13,Fair,1021.94,71
11,1590522600,13,Partly Cloudy,1021.94,71
11,1590524400,13,Fair,1020.94,71
11,1590526200,9,Partly Cloudy,1020.94,76
11,1590528000,11,Cloudy,1020.94,76
11,1590529800,7,Cloudy,1019.94,76
