temperature,timestamp,wind_speed,description,pressure,humidity
0,1588198800,2,Cloudy,1012.95,80
-1,1588200600,7,Cloudy,1012.95,86
-1,1588202400,9,Cloudy,1012.95,86
-1,1588204200,6,Cloudy,1012.95,86
-1,1588206000,2,Cloudy,1013.95,86
-2,1588207800,6,Cloudy,1013.95,93
-2,1588209600,7,Cloudy,1013.95,93
-2,1588211400,6,Cloudy,1013.95,93
-2,1588213200,2,Cloudy,1013.95,93
-2,1588215000,2,Cloudy,1013.95,93
-2,1588216800,4,Partly Cloudy,1013.95,93
-2,1588218600,6,Fair,1013.95,93
-1,1588220400,2,Fair,1013.95,86
0,1588222200,4,Partly Cloudy,1013.95,80
0,1588224000,4,Partly Cloudy,1013.95,87
0,1588225800,4,Cloudy,1013.95,87
2,1588227600,0,Fair,1013.95,75
2,1588229400,6,Fair,1013.95,75
3,1588231200,7,Fair,1013.95,70
4,1588233000,7,Fair,1013.95,65
3,1588234800,9,Mostly Cloudy,1013.95,70
3,1588236600,13,Fair,1012.95,60
4,1588238400,13,Mostly Cloudy,1012.95,61
4,1588240200,13,Fair,1012.95,61
4,1588242000,13,Fair,1012.95,61
4,1588243800,17,Fair,1012.95,56
4,1588245600,19,Fair,1012.95,56
4,1588247400,20,Fair,1012.95,56
4,1588249200,17,Fair,1012.95,56
4,1588251000,19,Fair,1012.95,61
4,1588252800,20,Fair,1012.95,56
4,1588254600,19,Fair,1012.95,52
4,1588256400,19,Fair,1012.95,56
4,1588258200,17,Fair,1011.96,56
3,1588260000,15,Fair,1011.96,60
3,1588261800,15,Fair,1011.96,60
3,1588263600,15,Fair,1011.96,56
2,1588265400,13,Fair,1011.96,65
2,1588267200,13,Fair,1011.96,65
1,1588269000,13,Fair,1011.96,70
1,1588270800,13,Fair,1011.96,70
1,1588272600,11,Cloudy,1011.96,75
0,1588274400,7,Mostly Cloudy,1011.96,75
-1,1588276200,4,Fair,1011.96,80
-1,1588278000,6,Fair,1011.96,80
-1,1588279800,6,Fair,1011.96,80
-1,1588281600,6,Fair,1011.96,80
-2,1588283400,6,Fair,1011.96,80
