temperature,timestamp,wind_speed,description,pressure,humidity
3,1589062800,9,Mostly Cloudy,1006.97,70
4,1589064600,15,Fair,1006.97,65
3,1589066400,13,Cloudy,1006.97,81
3,1589068200,15,Cloudy,1006.97,81
3,1589070000,19,Cloudy,1006.97,81
3,1589071800,15,Cloudy,1006.97,81
3,1589073600,19,Cloudy,1006.97,70
3,1589075400,24,Unknown Precipitation,1005.97,70
2,1589077200,19,Light Rain Shower,1005.97,81
2,1589079000,24,Light Rain Shower,1004.97,87
1,1589080800,20,Wintry Mix,1004.97,93
1,1589082600,22,Wintry Mix,1004.97,93
1,1589084400,17,Wintry Mix,1004.97,93
1,1589086200,15,Wintry Mix,1003.97,93
0,1589088000,13,Wintry Mix,1003.97,100
0,1589089800,19,Wintry Mix,1003.97,100
0,1589091600,15,Wintry Mix,1002.97,100
1,1589093400,19,Wintry Mix,1002.97,93
1,1589095200,15,Wintry Mix,1002.97,93
1,1589097000,17,Wintry Mix,1001.98,93
1,1589098800,17,Wintry Mix,1001.98,100
1,1589100600,11,Wintry Mix,1001.98,100
2,1589102400,11,Mostly Cloudy,1001.98,93
2,1589104200,9,Mostly Cloudy,1000.98,100
3,1589106000,11,Mostly Cloudy,1000.98,93
2,1589107800,9,Mostly Cloudy,1000.98,93
3,1589109600,9,Light Rain,1000.98,93
3,1589111400,13,Partly Cloudy,1000.98,93
3,1589113200,11,Mostly Cloudy,1000.98,93
3,1589115000,11,Mostly Cloudy,1000.98,93
3,1589116800,13,Mostly Cloudy,1000.98,93
3,1589118600,11,Mostly Cloudy,999.98,93
4,1589120400,11,Mostly Cloudy,999.98,87
4,1589122200,9,Light Rain,998.98,87
4,1589124000,9,Fair,998.98,87
4,1589125800,7,Fair,998.98,81
4,1589127600,9,Fair,998.98,87
3,1589129400,15,Light Rain Shower,998.98,87
1,1589131200,7,Wintry Mix,998.98,93
1,1589133000,4,Mostly Cloudy,998.98,100
2,1589134800,9,Cloudy,998.98,93
2,1589136600,11,Mostly Cloudy,998.98,93
2,1589138400,19,Partly Cloudy,998.98,81
1,1589140200,19,Partly Cloudy,998.98,75
1,1589142000,15,Fair,998.98,75
0,1589143800,17,Fair,997.99,75
0,1589145600,19,Fair,997.99,75
0,1589147400,19,Fair,997.99,75
