temperature,timestamp,wind_speed,description,pressure,humidity
2,1590099600,0,Fair,1023.93,75
1,1590101400,0,Fair,1023.93,75
1,1590103200,2,Fair,1023.93,75
0,1590105000,2,Fair,1023.93,80
0,1590106800,2,Fair,1023.93,87
0,1590108600,0,Fair,1023.93,87
0,1590110400,2,Fair,1023.93,87
0,1590112200,2,Fair,1023.93,87
1,1590114000,0,Fair,1023.93,81
3,1590115800,0,Fair,1023.93,75
4,1590117600,4,Fair,1024.93,81
6,1590119400,6,Fair,1024.93,76
7,1590121200,11,Fair,1024.93,66
7,1590123000,13,Fair,1023.93,71
8,1590124800,13,Fair,1023.93,57
8,1590126600,11,Fair,1023.93,53
9,1590128400,13,Fair,1023.93,54
10,1590130200,15,Fair,1023.93,43
10,1590132000,19,Fair,1023.93,37
10,1590133800,19,Fair,1022.93,37
10,1590135600,19,Fair,1022.93,37
11,1590137400,22,Fair,1022.93,38
11,1590139200,22,Fair,1022.93,38
11,1590141000,24,Fair,1022.93,38
11,1590142800,19,Fair,1022.93,38
11,1590144600,22,Fair,1022.93,38
11,1590146400,24,Fair,1022.93,38
11,1590148200,24,Fair,1021.94,38
11,1590150000,22,Fair,1021.94,38
12,1590151800,22,Fair,1021.94,35
11,1590153600,22,Fair,1021.94,38
11,1590155400,19,Fair,1020.94,38
11,1590157200,20,Fair,1020.94,38
10,1590159000,20,Fair,1020.94,43
10,1590160800,19,Fair,1020.94,50
10,1590162600,22,Fair,1019.94,50
9,1590164400,19,Fair,1019.94,46
9,1590166200,17,Fair,1019.94,50
9,1590168000,17,Fair,1019.94,54
8,1590169800,11,Fair,1018.94,57
8,1590171600,11,Fair,1018.94,62
7,1590173400,9,Fair,1018.94,66
7,1590175200,9,Fair,1018.94,66
6,1590177000,9,Fair,1018.94,70
6,1590178800,9,Fair,1017.94,76
6,1590180600,7,Fair,1017.94,76
5,1590182400,9,Fair,1017.94,76
5,1590184200,7,Fair,1017.94,81
