temperature,timestamp,wind_speed,description,pressure,humidity
2,1588976400,4,Cloudy,1003.97,70
2,1588978200,2,Cloudy,1003.97,70
1,1588980000,6,Cloudy,1003.97,75
2,1588981800,7,Cloudy,1003.97,70
2,1588983600,7,Cloudy,1003.97,70
2,1588985400,7,Cloudy,1003.97,75
1,1588987200,6,Cloudy,1003.97,87
2,1588989000,11,Cloudy,1003.97,81
1,1588990800,11,Light Rain Shower,1003.97,93
1,1588992600,13,Wintry Mix,1003.97,93
1,1588994400,7,Light Rain,1003.97,93
1,1588996200,9,Wintry Mix,1004.97,93
2,1588998000,9,Light Drizzle,1004.97,87
2,1588999800,9,Cloudy,1004.97,87
2,1589001600,13,Fair,1004.97,75
3,1589003400,20,Mostly Cloudy,1004.97,70
4,1589005200,17,Partly Cloudy,1004.97,61
5,1589007000,19,Cloudy,1004.97,53
5,1589008800,17,Mostly Cloudy,1004.97,53
5,1589010600,15,Fair,1004.97,49
6,1589012400,19,Fair,1005.97,46
6,1589014200,15,Fair,1005.97,46
7,1589016000,20,Fair,1005.97,43
7,1589017800,15,Fair,1005.97,43
7,1589019600,19,Fair,1005.97,39
7,1589021400,15,Fair,1006.97,39
8,1589023200,15,Fair,1006.97,34
7,1589025000,17,Fair,1006.97,34
7,1589026800,15,Fair,1006.97,34
7,1589028600,19,Fair,1006.97,34
8,1589030400,15,Fair,1006.97,32
7,1589032200,17,Fair,1007.96,31
7,1589034000,13,Mostly Cloudy,1007.96,31
8,1589035800,15,Cloudy,1007.96,29
8,1589037600,15,Mostly Cloudy,1007.96,29
8,1589039400,11,Fair,1007.96,29
8,1589041200,6,Fair,1007.96,29
8,1589043000,6,Fair,1007.96,27
8,1589044800,6,Fair,1007.96,25
8,1589046600,,Fair,1007.96,25
6,1589048400,,Fair,1007.96,36
6,1589050200,,Fair,1007.96,34
4,1589052000,,Fair,1007.96,39
2,1589053800,,Fair,1007.96,60
3,1589055600,7,Fair,1007.96,65
2,1589057400,4,Partly Cloudy,1007.96,70
2,1589059200,7,Fair,1007.96,75
3,1589061000,9,Mostly Cloudy,1007.96,70
