temperature,timestamp,wind_speed,description,pressure,humidity
-1,1586557200,19,Fair,1011.96,75
-2,1586559000,19,Fair,1012.95,74
-2,1586560800,17,Fair,1012.95,69
-2,1586562600,19,Fair,1013.95,69
-2,1586564400,19,Fair,1013.95,69
-3,1586566200,17,Fair,1013.95,69
-4,1586568000,22,Fair,1014.95,74
-4,1586569800,19,Fair,1014.95,74
-4,1586571600,17,Fair,1015.95,74
-4,1586573400,13,Fair,1015.95,74
-4,1586575200,11,Fair,1015.95,74
-4,1586577000,17,Fair,1015.95,69
-4,1586578800,9,Fair,1015.95,69
-4,1586580600,13,Fair,1015.95,69
-3,1586582400,15,Fair,1016.95,64
-3,1586584200,15,Fair,1016.95,64
-2,1586586000,11,Fair,1016.95,64
-1,1586587800,19,Fair,1016.95,60
-1,1586589600,15,Fair,1016.95,60
0,1586591400,9,Fair,1016.95,55
1,1586593200,13,Fair,1016.95,48
1,1586595000,13,Fair,1016.95,48
2,1586596800,15,Fair,1016.95,44
2,1586598600,11,Fair,1016.95,44
3,1586600400,7,Fair,1016.95,41
3,1586602200,4,Mostly Cloudy,1016.95,38
3,1586604000,7,Mostly Cloudy,1016.95,38
4,1586605800,7,Partly Cloudy,1016.95,33
3,1586607600,20,Fair,1015.95,52
3,1586609400,19,Fair,1015.95,52
3,1586611200,19,Fair,1015.95,48
3,1586613000,19,Fair,1015.95,52
3,1586614800,19,Fair,1014.95,56
3,1586616600,22,Fair,1014.95,56
2,1586618400,20,Fair,1014.95,60
1,1586620200,19,Fair,1014.95,65
1,1586622000,15,Fair,1014.95,65
1,1586623800,13,Fair,1013.95,70
1,1586625600,11,Fair,1013.95,70
0,1586627400,11,Fair,1013.95,80
0,1586629200,9,Fair,1013.95,80
0,1586631000,7,Fair,1012.95,80
0,1586632800,9,Fair,1012.95,80
-1,1586634600,9,Fair,1011.96,86
-1,1586636400,7,Fair,1011.96,86
-1,1586638200,7,Fair,1011.96,86
-1,1586640000,11,Fair,1010.96,86
-1,1586641800,15,Fair,1010.96,86
