temperature,timestamp,wind_speed,description,pressure,humidity
-3,1584573600,4,Fair,994.99,80
-5,1584575400,6,Fair,994.99,86
-6,1584577200,4,Fair,994.99,86
-5,1584579000,0,Fair,994.99,93
-4,1584580800,0,Fair,994.99,86
-5,1584582600,4,Fair,994.99,86
-5,1584584400,2,Fair,994.99,86
-6,1584586200,2,Fair,995.99,93
-6,1584588000,4,Fair,995.99,93
-5,1584589800,9,Fair,995.99,93
-5,1584591600,9,Fair,996.99,86
-5,1584593400,7,Fair,996.99,86
-5,1584595200,9,Fair,996.99,80
-4,1584597000,15,Fair,997.99,80
-3,1584598800,15,Fair,997.99,80
-2,1584600600,13,Fair,998.98,74
-2,1584602400,17,Fair,999.98,74
-2,1584604200,17,Fair,999.98,74
-1,1584606000,20,Fair,1000.98,75
0,1584607800,15,Fair,1001.98,69
0,1584609600,17,Fair,1002.97,69
1,1584611400,13,Partly Cloudy,1002.97,65
1,1584613200,15,Partly Cloudy,1003.97,60
1,1584615000,19,Partly Cloudy,1004.97,65
1,1584616800,15,Fair,1004.97,60
1,1584618600,22,Fair,1005.97,60
1,1584620400,17,Fair,1005.97,60
1,1584622200,17,Fair,1006.97,56
1,1584624000,17,Fair,1007.96,52
1,1584625800,20,Fair,1007.96,52
0,1584627600,20,Fair,1008.96,55
0,1584629400,20,Fair,1008.96,44
0,1584631200,17,Fair,1009.96,48
-1,1584633000,24,Fair,1010.96,47
-2,1584634800,19,Fair,1010.96,51
-2,1584636600,19,Fair,1011.96,47
-3,1584638400,17,Fair,1012.95,51
-3,1584640200,15,Fair,1012.95,43
-4,1584642000,9,Fair,1013.95,46
-4,1584643800,11,Fair,1014.95,46
-4,1584645600,15,Fair,1014.95,46
-5,1584647400,17,Fair,1015.95,50
-5,1584649200,15,Fair,1015.95,50
-7,1584651000,15,Fair,1016.95,58
-8,1584652800,15,Fair,1016.95,63
-8,1584654600,15,Fair,1017.94,63
-7,1584656400,9,Fair,1017.94,58
-8,1584658200,7,Fair,1018.94,58
