temperature,timestamp,wind_speed,description,pressure,humidity
1,1589754000,9,Fair,1001.98,81
1,1589755800,7,Fair,1001.98,81
0,1589757600,7,Fair,1001.98,87
-1,1589759400,7,Fair,1001.98,86
-1,1589761200,7,Fair,1001.98,86
0,1589763000,6,Fair,1002.97,87
0,1589764800,6,Fair,1002.97,87
0,1589766600,7,Fair,1002.97,87
0,1589768400,7,Fair,1002.97,87
1,1589770200,9,Fair,1002.97,87
2,1589772000,9,Fair,1002.97,81
3,1589773800,4,Fair,1002.97,75
4,1589775600,7,Fair,1002.97,70
5,1589777400,9,Fair,1002.97,65
6,1589779200,9,Fair,1002.97,57
7,1589781000,9,Fair,1003.97,53
7,1589782800,7,Fair,1003.97,53
8,1589784600,6,Fair,1003.97,43
9,1589786400,7,Fair,1003.97,40
9,1589788200,9,Fair,1003.97,40
9,1589790000,11,Showers in the Vicinity,1003.97,37
9,1589791800,13,Mostly Cloudy,1003.97,40
8,1589793600,11,Showers in the Vicinity,1003.97,50
8,1589795400,9,Showers in the Vicinity,1003.97,50
8,1589797200,11,Showers in the Vicinity,1004.97,43
5,1589799000,20,Showers in the Vicinity,1004.97,70
6,1589800800,19,Showers in the Vicinity,1004.97,66
7,1589802600,13,Light Rain Shower,1004.97,53
8,1589804400,4,Showers in the Vicinity,1004.97,43
9,1589806200,7,Showers in the Vicinity,1004.97,40
8,1589808000,15,Showers in the Vicinity,1004.97,46
7,1589809800,19,Showers in the Vicinity,1004.97,57
5,1589811600,17,Light Drizzle,1005.97,76
5,1589813400,9,Light Rain Shower,1004.97,70
8,1589815200,4,Partly Cloudy,1004.97,53
7,1589817000,7,Fair,1004.97,61
7,1589818800,2,Fair,1004.97,53
7,1589820600,4,Fair,1004.97,57
6,1589822400,11,Fair,1004.97,70
6,1589824200,7,Fair,1004.97,70
5,1589826000,4,Fair,1004.97,76
5,1589827800,6,Mostly Cloudy,1004.97,76
4,1589829600,7,Mostly Cloudy,1005.97,81
4,1589831400,4,Fair,1005.97,81
3,1589833200,2,Mostly Cloudy,1005.97,81
3,1589835000,4,Fair,1005.97,81
1,1589836800,6,Fair,1005.97,93
0,1589838600,4,Fair,1005.97,93
