temperature,timestamp,wind_speed,description,pressure,humidity
0,1584919200,11,Cloudy,1022.93,60
0,1584921000,13,Cloudy,1022.93,60
-1,1584922800,7,Cloudy,1022.93,64
-1,1584924600,11,Cloudy,1022.93,64
-1,1584926400,13,Cloudy,1022.93,69
0,1584928200,11,Mostly Cloudy,1022.93,60
-1,1584930000,11,Partly Cloudy,1022.93,64
-2,1584931800,13,Partly Cloudy,1022.93,69
-1,1584933600,15,Fair,1022.93,64
-1,1584935400,11,Partly Cloudy,1022.93,64
-1,1584937200,13,Fair,1022.93,64
-1,1584939000,11,Fair,1022.93,64
-1,1584940800,11,Fair,1022.93,64
0,1584942600,13,Fair,1022.93,60
0,1584944400,11,Fair,1022.93,64
0,1584946200,13,Fair,1022.93,64
1,1584948000,9,Fair,1022.93,60
2,1584949800,13,Fair,1022.93,56
2,1584951600,9,Fair,1022.93,60
3,1584953400,19,Fair,1022.93,56
2,1584955200,15,Fair,1021.94,65
2,1584957000,17,Fair,1021.94,70
2,1584958800,20,Fair,1021.94,70
2,1584960600,19,Fair,1021.94,70
3,1584962400,15,Fair,1021.94,65
2,1584964200,17,Fair,1021.94,70
2,1584966000,20,Fair,1021.94,75
2,1584967800,24,Fair,1020.94,81
2,1584969600,24,Fair,1020.94,81
1,1584971400,28,Fair,1019.94,87
1,1584973200,28,Fair,1019.94,87
1,1584975000,30,Fair,1019.94,87
0,1584976800,30,Fair,1019.94,93
1,1584978600,26,Fair,1018.94,87
1,1584980400,24,Fair,1018.94,87
1,1584982200,28,Fair,1017.94,87
1,1584984000,24,Fair,1017.94,87
0,1584985800,28,Fair,1016.95,93
1,1584987600,28,Cloudy,1016.95,87
1,1584989400,22,Fair,1016.95,87
1,1584991200,22,Fair,1015.95,87
1,1584993000,19,Mostly Cloudy,1015.95,87
1,1584994800,20,Fair,1014.95,87
0,1584996600,20,Fair,1014.95,93
1,1584998400,20,Fair,1014.95,87
1,1585000200,22,Fair,1013.95,87
0,1585002000,19,Fair,1013.95,93
0,1585003800,19,Fair,1012.95,93
