temperature,timestamp,wind_speed,description,pressure,humidity
1,1586211600,15,Fair,1012.95,93
1,1586213400,11,Fair,1011.96,93
0,1586215200,6,Fair,1010.96,93
-1,1586217000,4,Fair,1010.96,100
-1,1586218800,6,Fair,1009.96,93
-1,1586220600,6,Fair,1009.96,93
-1,1586222400,7,Cloudy,1008.96,100
0,1586224200,6,Cloudy,1008.96,93
0,1586226000,4,Fog,1008.96,100
0,1586227800,7,Fog,1007.96,93
0,1586229600,4,Fog,1007.96,93
0,1586231400,6,Fog,1007.96,93
0,1586233200,7,Fog,1007.96,93
-1,1586235000,6,Fog,1006.97,100
-1,1586236800,7,Fog,1006.97,100
-1,1586238600,13,Fog,1006.97,100
-1,1586240400,15,Fog,1006.97,100
-1,1586242200,15,Mist,1006.97,100
-1,1586244000,13,Mostly Cloudy,1006.97,100
-1,1586245800,15,Mostly Cloudy,1006.97,100
0,1586247600,11,Mostly Cloudy,1006.97,93
0,1586249400,13,Mostly Cloudy,1006.97,93
1,1586251200,13,Mostly Cloudy,1006.97,93
1,1586253000,11,Fair,1006.97,87
2,1586254800,6,Fair,1006.97,87
3,1586256600,4,Fair,1006.97,81
3,1586258400,6,Light Rain,1006.97,81
3,1586260200,6,Fair,1007.96,81
2,1586262000,4,Fair,1007.96,87
4,1586263800,7,Fair,1007.96,81
4,1586265600,11,Fair,1007.96,81
6,1586267400,6,Fair,1007.96,70
7,1586269200,6,Fair,1007.96,66
10,1586271000,24,Fair,1008.96,50
10,1586272800,26,Fair,1008.96,50
7,1586274600,20,Fair,1009.96,57
9,1586276400,26,Fair,1009.96,46
9,1586278200,20,Fair,1010.96,46
8,1586280000,20,Fair,1010.96,50
7,1586281800,15,Fair,1011.96,53
7,1586283600,20,Fair,1011.96,53
6,1586285400,17,Fair,1012.95,57
6,1586287200,17,Fair,1012.95,57
5,1586289000,17,Fair,1012.95,61
5,1586290800,22,Fair,1012.95,61
4,1586292600,6,Fair,1012.95,61
3,1586294400,4,Fair,1012.95,65
1,1586296200,6,Fair,1012.95,70
