temperature,timestamp,wind_speed,description,pressure,humidity
5,1587421200,6,Cloudy,1026.93,61
6,1587423000,2,Cloudy,1026.93,53
5,1587424800,6,Cloudy,1027.92,61
6,1587426600,2,Cloudy,1027.92,53
6,1587428400,2,Cloudy,1027.92,53
6,1587430200,4,Cloudy,1027.92,57
5,1587432000,6,Cloudy,1026.93,65
4,1587433800,6,Mostly Cloudy,1026.93,75
5,1587435600,6,Fair,1026.93,76
5,1587437400,9,Partly Cloudy,1026.93,76
4,1587439200,7,Fair,1026.93,81
4,1587441000,11,Fair,1026.93,81
5,1587442800,11,Fair,1026.93,76
5,1587444600,11,Fair,1026.93,76
6,1587446400,9,Fair,1026.93,76
6,1587448200,9,Fair,1026.93,70
6,1587450000,17,Fair,1025.93,70
6,1587451800,17,Fair,1025.93,70
7,1587453600,17,Fair,1025.93,66
7,1587455400,19,Fair,1026.93,66
8,1587457200,13,Fair,1026.93,62
9,1587459000,15,Fair,1026.93,57
9,1587460800,20,Fair,1026.93,57
9,1587462600,19,Fair,1026.93,57
10,1587464400,13,Fair,1027.92,50
10,1587466200,15,Fair,1027.92,50
10,1587468000,13,Fair,1027.92,50
9,1587469800,11,Fair,1027.92,54
10,1587471600,11,Fair,1028.92,50
10,1587473400,15,Fair,1028.92,50
11,1587475200,13,Fair,1028.92,47
10,1587477000,17,Fair,1028.92,50
10,1587478800,17,Fair,1028.92,47
10,1587480600,15,Fair,1029.92,47
10,1587482400,11,Fair,1029.92,47
10,1587484200,13,Fair,1029.92,47
9,1587486000,11,Fair,1029.92,50
9,1587487800,9,Fair,1029.92,46
8,1587489600,7,Fair,1029.92,46
7,1587491400,7,Fair,1030.92,46
7,1587493200,9,Fair,1030.92,39
6,1587495000,6,Fair,1030.92,42
6,1587496800,6,Fair,1030.92,39
5,1587498600,6,Fair,1030.92,42
5,1587500400,7,Fair,1031.92,45
4,1587502200,7,Fair,1030.92,45
2,1587504000,6,Fair,1031.92,56
1,1587505800,4,Fair,1031.92,65
