container_cpu_seconds,container_memory_bytes,container_read_bytes,container_write_bytes,container,timestamp,node
0.0,0.0,0.0,0.0,0,1589320800.0,5
0.0,0.0,0.0,0.0,0,1589321100.0,5
0.0,0.0,0.0,0.0,0,1589321400.0,5
0.0,0.0,0.0,0.0,0,1589321700.0,5
0.0,0.0,0.0,0.0,0,1589322000.0,5
0.0,0.0,0.0,0.0,0,1589322300.0,5
0.0,0.0,0.0,0.0,0,1589322600.0,5
0.0,0.0,0.0,0.0,0,1589322900.0,5
0.0,0.0,0.0,0.0,0,1589323200.0,5
0.0,0.0,0.0,0.0,0,1589323500.0,5
0.0,0.0,0.0,0.0,0,1589323800.0,5
0.0,0.0,0.0,0.0,0,1589324100.0,5
0.0,0.0,0.0,0.0,0,1589324400.0,5
0.0,0.0,0.0,0.0,0,1589324700.0,5
0.0,0.0,0.0,0.0,0,1589325000.0,5
0.0,0.0,0.0,0.0,0,1589325300.0,5
0.0,0.0,0.0,0.0,0,1589325600.0,5
0.0,0.0,0.0,0.0,0,1589325900.0,5
0.0,0.0,0.0,0.0,0,1589326200.0,5
0.0,0.0,0.0,0.0,0,1589326500.0,5
0.0,0.0,0.0,0.0,0,1589326800.0,5
0.0,0.0,0.0,0.0,0,1589327100.0,5
0.0,0.0,0.0,0.0,0,1589327400.0,5
0.0,0.0,0.0,0.0,0,1589327700.0,5
0.0,0.0,0.0,0.0,0,1589328000.0,5
0.0,0.0,0.0,0.0,0,1589328300.0,5
0.0,0.0,0.0,0.0,0,1589328600.0,5
0.0,0.0,0.0,0.0,0,1589328900.0,5
0.0,0.0,0.0,0.0,0,1589329200.0,5
0.0,0.0,0.0,0.0,0,1589329500.0,5
0.0,0.0,0.0,0.0,0,1589329800.0,5
0.0,0.0,0.0,0.0,0,1589330100.0,5
0.0,0.0,0.0,0.0,0,1589330400.0,5
0.0,0.0,0.0,0.0,0,1589330700.0,5
0.0,0.0,0.0,0.0,0,1589331000.0,5
0.0,0.0,0.0,0.0,0,1589331300.0,5
0.0,0.0,0.0,0.0,0,1589331600.0,5
0.0,0.0,0.0,0.0,0,1589331900.0,5
0.0,0.0,0.0,0.0,0,1589332200.0,5
0.0,0.0,0.0,0.0,0,1589332500.0,5
0.0,0.0,0.0,0.0,0,1589332800.0,5
0.0,0.0,0.0,0.0,0,1589333100.0,5
0.0,0.0,0.0,0.0,0,1589333400.0,5
0.0,0.0,0.0,0.0,0,1589333700.0,5
0.0,0.0,0.0,0.0,0,1589334000.0,5
0.0,0.0,0.0,0.0,0,1589334300.0,5
0.0,0.0,0.0,0.0,0,1589334600.0,5
0.0,0.0,0.0,0.0,0,1589334900.0,5
0.0,0.0,0.0,0.0,0,1589335200.0,5
0.0,0.0,0.0,0.0,0,1589335500.0,5
0.0,0.0,0.0,0.0,0,1589335800.0,5
0.0,0.0,0.0,0.0,0,1589336100.0,5
0.0,0.0,0.0,0.0,0,1589336400.0,5
0.0,0.0,0.0,0.0,0,1589336700.0,5
0.0,0.0,0.0,0.0,0,1589337000.0,5
0.0,0.0,0.0,0.0,0,1589337300.0,5
0.0,0.0,0.0,0.0,0,1589337600.0,5
0.0,0.0,0.0,0.0,0,1589337900.0,5
0.0,0.0,0.0,0.0,0,1589338200.0,5
0.0,0.0,0.0,0.0,0,1589338500.0,5
0.0,0.0,0.0,0.0,0,1589338800.0,5
0.0,0.0,0.0,0.0,0,1589339100.0,5
0.0,0.0,0.0,0.0,0,1589339400.0,5
0.0,0.0,0.0,0.0,0,1589339700.0,5
0.0,0.0,0.0,0.0,0,1589340000.0,5
0.0,0.0,0.0,0.0,0,1589340300.0,5
0.0,0.0,0.0,0.0,0,1589340600.0,5
0.0,0.0,0.0,0.0,0,1589340900.0,5
0.0,0.0,0.0,0.0,0,1589341200.0,5
0.0,0.0,0.0,0.0,0,1589341500.0,5
0.0,0.0,0.0,0.0,0,1589341800.0,5
0.0,0.0,0.0,0.0,0,1589342100.0,5
0.0,0.0,0.0,0.0,0,1589342400.0,5
0.0,0.0,0.0,0.0,0,1589342700.0,5
0.0,0.0,0.0,0.0,0,1589343000.0,5
0.0,0.0,0.0,0.0,0,1589343300.0,5
0.0,0.0,0.0,0.0,0,1589343600.0,5
0.0,0.0,0.0,0.0,0,1589343900.0,5
0.0,0.0,0.0,0.0,0,1589344200.0,5
0.0,0.0,0.0,0.0,0,1589344500.0,5
0.0,0.0,0.0,0.0,0,1589344800.0,5
0.0,0.0,0.0,0.0,0,1589345100.0,5
0.0,0.0,0.0,0.0,0,1589345400.0,5
0.0,0.0,0.0,0.0,0,1589345700.0,5
0.0,0.0,0.0,0.0,0,1589346000.0,5
0.0,0.0,0.0,0.0,0,1589346300.0,5
0.0,0.0,0.0,0.0,0,1589346600.0,5
0.0,0.0,0.0,0.0,0,1589346900.0,5
0.0,0.0,0.0,0.0,0,1589347200.0,5
0.0,0.0,0.0,0.0,0,1589347500.0,5
0.0,0.0,0.0,0.0,0,1589347800.0,5
0.0,0.0,0.0,0.0,0,1589348100.0,5
0.0,0.0,0.0,0.0,0,1589348400.0,5
0.0,0.0,0.0,0.0,0,1589348700.0,5
0.0,0.0,0.0,0.0,0,1589349000.0,5
0.0,0.0,0.0,0.0,0,1589349300.0,5
0.0,0.0,0.0,0.0,0,1589349600.0,5
0.0,0.0,0.0,0.0,0,1589349900.0,5
0.0,0.0,0.0,0.0,0,1589350200.0,5
0.0,0.0,0.0,0.0,0,1589350500.0,5
0.0,0.0,0.0,0.0,0,1589350800.0,5
0.0,0.0,0.0,0.0,0,1589351100.0,5
0.0,0.0,0.0,0.0,0,1589351400.0,5
0.0,0.0,0.0,0.0,0,1589351700.0,5
0.0,0.0,0.0,0.0,0,1589352000.0,5
0.0,0.0,0.0,0.0,0,1589352300.0,5
0.0,0.0,0.0,0.0,0,1589352600.0,5
0.0,0.0,0.0,0.0,0,1589352900.0,5
0.0,0.0,0.0,0.0,0,1589353200.0,5
0.0,0.0,0.0,0.0,0,1589353500.0,5
0.0,0.0,0.0,0.0,0,1589353800.0,5
0.0,0.0,0.0,0.0,0,1589354100.0,5
0.0,0.0,0.0,0.0,0,1589354400.0,5
0.0,0.0,0.0,0.0,0,1589354700.0,5
0.0,0.0,0.0,0.0,0,1589355000.0,5
0.0,0.0,0.0,0.0,0,1589355300.0,5
0.0,0.0,0.0,0.0,0,1589355600.0,5
0.0,0.0,0.0,0.0,0,1589355900.0,5
0.0,0.0,0.0,0.0,0,1589356200.0,5
0.0,0.0,0.0,0.0,0,1589356500.0,5
0.0,0.0,0.0,0.0,0,1589356800.0,5
0.0,0.0,0.0,0.0,0,1589357100.0,5
0.0,0.0,0.0,0.0,0,1589357400.0,5
0.0,0.0,0.0,0.0,0,1589357700.0,5
0.0,0.0,0.0,0.0,0,1589358000.0,5
0.0,0.0,0.0,0.0,0,1589358300.0,5
0.0,0.0,0.0,0.0,0,1589358600.0,5
0.0,0.0,0.0,0.0,0,1589358900.0,5
0.0,0.0,0.0,0.0,0,1589359200.0,5
